"year","territory","oblast_code","title_count","copy_count","territory_ua"
2017,"Sumy","UA59000000000057109",484,519.4,"Сумська"
2017,"Ternopil","UA61000000000060328",1005,2653.5,"Тернопільська"
2017,"Kharkiv","UA63000000000041885",5046,18028.5,"Харківська"
2017,"Kherson","UA65000000000030969",247,63.9,"Херсонська"
2017,"Khmelnytskyi","UA68000000000099709",475,374.9,"Хмельницька"
2017,"Cherkasy","UA71000000000010357",306,135,"Черкаська"
2017,"Chernivtsi","UA73000000000044923",324,216.5,"Чернівецька"
2017,"Chernihiv","UA74000000000025378",272,137.9,"Чернігівська"
2018,"Ivano-Frankivsk","UA26000000000069363",271,170.2,"Івано-Франківська"
2018,"Crimea","UA01000000000013043",0,0,"Автономна Республіка Крим"
2018,"Volyn","UA07000000000024379",250,256.5,"Волинська"
2018,"Vinnytsia","UA05000000000010236",444,107.4,"Вінницька"
2018,"Dnipro","UA12000000000090473",838,304,"Дніпропетровська"
2018,"Donetsk","UA14000000000091971",147,257.5,"Донецька"
2018,"Zhytomyr","UA18000000000041385",251,87.2,"Житомирська"
2018,"Zakarpattia","UA21000000000011690",228,99.1,"Закарпатська"
2018,"Zaporizhzhia","UA23000000000064947",447,121.9,"Запорізька"
2018,"Kyiv City","UA80000000000093317",7985,20432.5,"Київ"
2018,"Kyiv Oblast","UA32000000000030281",157,215.2,"Київська"
2018,"Kirovohrad","UA35000000000016081",95,34.4,"Кіровоградська"
2018,"Luhansk","UA44000000000018893",38,10.9,"Луганська"
2018,"Lviv","UA46000000000026241",1648,1652.7,"Львівська"
2018,"Mykolaiv","UA48000000000039575",198,65,"Миколаївська"
2018,"Odesa","UA51000000000030770",742,197.9,"Одеська"
2018,"Poltava","UA53000000000028050",344,91.2,"Полтавська"
2018,"Rivne","UA56000000000066151",204,106.7,"Рівненська"
2018,"Sumy","UA59000000000057109",525,508.1,"Сумська"
2018,"Ternopil","UA61000000000060328",753,1708.7,"Тернопільська"
2018,"Kharkiv","UA63000000000041885",5359,19722.5,"Харківська"
2018,"Kherson","UA65000000000030969",325,80.7,"Херсонська"
2018,"Khmelnytskyi","UA68000000000099709",399,249.9,"Хмельницька"
2018,"Cherkasy","UA71000000000010357",281,111.8,"Черкаська"
2018,"Chernivtsi","UA73000000000044923",416,309.7,"Чернівецька"
2018,"Chernihiv","UA74000000000025378",267,120.4,"Чернігівська"
2019,"Ivano-Frankivsk","UA26000000000069363",252,91.9,"Івано-Франківська"
2019,"Crimea","UA01000000000013043",0,0,"Автономна Республіка Крим"
2019,"Volyn","UA07000000000024379",261,149.2,"Волинська"
2019,"Vinnytsia","UA05000000000010236",680,202.7,"Вінницька"
2019,"Dnipro","UA12000000000090473",783,258,"Дніпропетровська"
2019,"Donetsk","UA14000000000091971",165,224.7,"Донецька"
2019,"Zhytomyr","UA18000000000041385",286,108.5,"Житомирська"
2019,"Zakarpattia","UA21000000000011690",262,188.9,"Закарпатська"
2019,"Zaporizhzhia","UA23000000000064947",419,143.5,"Запорізька"
2019,"Kyiv City","UA80000000000093317",8456,29546.1,"Київ"
2019,"Kyiv Oblast","UA32000000000030281",182,152.3,"Київська"
2019,"Kirovohrad","UA35000000000016081",98,33.8,"Кіровоградська"
2019,"Luhansk","UA44000000000018893",44,11,"Луганська"
2019,"Lviv","UA46000000000026241",1795,2904,"Львівська"
2019,"Mykolaiv","UA48000000000039575",193,42.4,"Миколаївська"
2019,"Odesa","UA51000000000030770",740,190.2,"Одеська"
