"year","category_type","category_value","measure","value"
2007,"purpose","Література релігійного змісту","title_count",441
2007,"purpose","Літературно-художні видання для дорослих","copy_count",6688.2
2007,"purpose","Літературно-художні видання для дорослих","title_count",2730
2007,"purpose","Навчальні та методичні видання","copy_count",21647.3
2007,"purpose","Навчальні та методичні видання","title_count",6276
2007,"purpose","Науково-популярні видання для дорослих","copy_count",5062.7
2007,"purpose","Науково-популярні видання для дорослих","title_count",1296
2007,"purpose","Наукові видання","copy_count",1107.3
2007,"purpose","Наукові видання","title_count",2700
2007,"purpose","Нормативні та виробничо-практичні видання","copy_count",1112.8
2007,"purpose","Нормативні та виробничо-практичні видання","title_count",878
2007,"purpose","Офіційні видання","copy_count",422.5
2007,"purpose","Офіційні видання","title_count",1019
2007,"purpose","Рекламні видання","copy_count",0.4
2007,"purpose","Рекламні видання","title_count",2
2007,"territory","Івано-Франківська","copy_count",47.8
2007,"territory","Івано-Франківська","title_count",150
2007,"territory","Автономна Республіка Крим","copy_count",310.7
2007,"territory","Автономна Республіка Крим","title_count",320
2007,"territory","Волинська","copy_count",545.4
2007,"territory","Волинська","title_count",236
2007,"territory","Вінницька","copy_count",106.1
2007,"territory","Вінницька","title_count",253
2007,"territory","Дніпропетровська","copy_count",574.6
2007,"territory","Дніпропетровська","title_count",612
2007,"territory","Донецька","copy_count",9000.1
2007,"territory","Донецька","title_count",1431
2007,"territory","Житомирська","copy_count",71.2
2007,"territory","Житомирська","title_count",189
2007,"territory","Закарпатська","copy_count",162.6
2007,"territory","Закарпатська","title_count",244
2007,"territory","Запорізька","copy_count",153.3
2007,"territory","Запорізька","title_count",199
2007,"territory","Київ","copy_count",22390.2
2007,"territory","Київ","title_count",5978
2007,"territory","Київська","copy_count",607.4
2007,"territory","Київська","title_count",181
2007,"territory","Кіровоградська","copy_count",86.2
2007,"territory","Кіровоградська","title_count",82
2007,"territory","Луганська","copy_count",104.9
2007,"territory","Луганська","title_count",325
2007,"territory","Львівська","copy_count",615.7
2007,"territory","Львівська","title_count",915
2007,"territory","Миколаївська","copy_count",71.2
2007,"territory","Миколаївська","title_count",244
2007,"territory","Одеська","copy_count",277.9
2007,"territory","Одеська","title_count",555
2007,"territory","Полтавська","copy_count",114.4
2007,"territory","Полтавська","title_count",185
2007,"territory","Рівненська","copy_count",78.5
2007,"territory","Рівненська","title_count",140
2007,"territory","Сумська","copy_count",129.6
2007,"territory","Сумська","title_count",315
2007,"territory","Тернопільська","copy_count",581.3
2007,"territory","Тернопільська","title_count",487
2007,"territory","Харківська","copy_count",19380.4
2007,"territory","Харківська","title_count",3536
2007,"territory","Херсонська","copy_count",30.7
2007,"territory","Херсонська","title_count",84
2007,"territory","Хмельницька","copy_count",176.9
2007,"territory","Хмельницька","title_count",348
2007,"territory","Черкаська","copy_count",134.7
2007,"territory","Черкаська","title_count",210
2007,"territory","Чернівецька","copy_count",223.8
2007,"territory","Чернівецька","title_count",508
2007,"territory","Чернігівська","copy_count",136.1
2007,"territory","Чернігівська","title_count",260
2007,"theme","Дитяча література","copy_count",5478.6
2007,"theme","Дитяча література","title_count",1261
2007,"theme","Друк у цілому. Книгознавство. Преса. Поліграфія","copy_count",278.8
2007,"theme","Друк у цілому. Книгознавство. Преса. Поліграфія","title_count",307
2007,"theme","Література з освіти і культури","copy_count",19292
2007,"theme","Література з освіти і культури","title_count",2811
2007,"theme","Література з фізичної культури і спорту","copy_count",73.2
2007,"theme","Література з фізичної культури і спорту","title_count",93
2007,"theme","Література з філологічних наук","copy_count",1209.6
2007,"theme","Література з філологічних наук","title_count",958
2007,"theme","Література універсального змісту","copy_count",300.5
2007,"theme","Література універсального змісту","title_count",21
2007,"theme","Мистецтво. Мистецтвознавство","copy_count",222.4
2007,"theme","Мистецтво. Мистецтвознавство","title_count",196
2007,"theme","Охорона здоров'я. Медична література","copy_count",2295.4
2007,"theme","Охорона здоров'я. Медична література","title_count",707
2007,"theme","Політична і соціально-економічна література","copy_count",13875.7
2007,"theme","Політична і соціально-економічна література","title_count",4827
2007,"theme","Природничо-наукова література","copy_count",1131.5
2007,"theme","Природничо-наукова література","title_count",1242
2007,"theme","Сільськогосподарська література","copy_count",780.3
2007,"theme","Сільськогосподарська література","title_count",371
2007,"theme","Технічна література","copy_count",4485.5
2007,"theme","Технічна література","title_count",2463
2007,"theme","Художня література. Фольклор","copy_count",6688.2
2007,"theme","Художня література. Фольклор","title_count",2730
2007,"total","all_books","copy_count",56111.7
2007,"total","all_books","title_count",17987
2008,"language","Іврит","copy_count",0
2008,"language","Іврит","title_count",0
2008,"language","Іспанська","copy_count",0
2008,"language","Іспанська","title_count",0
2008,"language","Італійська","copy_count",0
2008,"language","Італійська","title_count",0
2008,"language","Азербайджанська","copy_count",0
2008,"language","Азербайджанська","title_count",0
2008,"language","Англійська","copy_count",0
2008,"language","Англійська","title_count",0
2008,"language","Арабська","copy_count",0
2008,"language","Арабська","title_count",0
2008,"language","Болгарська","copy_count",0
2008,"language","Болгарська","title_count",0
2008,"language","Білоруська","copy_count",0
2008,"language","Білоруська","title_count",0
2008,"language","Вʼєтнамська","copy_count",0
2008,"language","Вʼєтнамська","title_count",0
2008,"language","Гагаузька","copy_count",0
2008,"language","Гагаузька","title_count",0
2008,"language","Грецька","copy_count",0
2008,"language","Грецька","title_count",0
2008,"language","Давньогрецька","copy_count",0
2008,"language","Давньогрецька","title_count",0
2008,"language","Естонська","copy_count",0
2008,"language","Естонська","title_count",0
2008,"language","Китайська","copy_count",0
2008,"language","Китайська","title_count",0
2008,"language","Кримськотатарська","copy_count",0
2008,"language","Кримськотатарська","title_count",0
2008,"language","Кількома мовами народів світу","copy_count",0
2008,"language","Кількома мовами народів світу","title_count",0
2008,"language","Латинська","copy_count",0
2008,"language","Латинська","title_count",0
2008,"language","Литовська","copy_count",0
2008,"language","Литовська","title_count",0
2008,"language","Молдавська","copy_count",0
2008,"language","Молдавська","title_count",0
2008,"language","Новогрецька","copy_count",0
2008,"language","Новогрецька","title_count",0
2008,"language","Німецька","copy_count",0
2008,"language","Німецька","title_count",0
2008,"language","Польська","copy_count",0
2008,"language","Польська","title_count",0
2008,"language","Португальська","copy_count",0
2008,"language","Португальська","title_count",0
2008,"language","Ромська","copy_count",0
2008,"language","Ромська","title_count",0
2008,"language","Російська","copy_count",22534.9
2008,"language","Російська","title_count",5748
2008,"language","Румунська","copy_count",0
2008,"language","Румунська","title_count",0
